TÌtulo;Resumo;Selecionado
Sustainability in software engineering;The intersection between software engineering research and the problems related to sustainability and green IT has been the subject of increasing attention. In spite of that, we observe that sustainability is still not clearly defined, or understood, in the field of software engineering. This lack of clarity leads to confusion about e.g. what is relevant to measure or the research implications over time or space. This paper provides an overview of how the research so far has defined sustainability, and how this definition has been used to guide which research areas. To this end, we carried out a systematic mapping study for selecting, classifying and analyzing relevant publications. In this study, we investigate which knowledge areas and which time scope of sustainability effects are mostly targeted in scientific research. Our analysis shows research trends and discusses gaps to be filled.;1
5Ws of green and sustainable software;"Green and Sustainable Software has emerged as a new and highly active area in the software community. After several years of research and work, we believe that it is now necessary to obtain a general snapshot of how the research in this area is evolving. To do so, we have applied the 5Ws (why, when, who, where, and what), a formula for getting the complete story on a subject. We have therefore carried out a study, using 542 publications related to Green and Sustainable Software research; these were recovered using SCOPUS. The results obtained allow us to conclude that it is important to identify key elements of the research to allow researchers be fully aware of the state of the research on Green and Sustainable Software (why); the study uses papers published between 2000 and the beginning of November 2018 (when); the most prolific authors are mainly from Europe, although the USA is the most active country, Green and Sustainable Software being a very interactive area with a good number of multinational publications (who); the top five keywords related to sustainable aspects are Green Software, Green IT, Software Sustainability, Energy Consumption, and Energy Efficiency (what); finally, as regards the places authors prefer to publish in, there is almost a complete balance between conferences and journals, with a trend towards an increase in the number of publications (where).";1
Puzzling out Software Sustainability;Software Sustainability is gaining importance and, as occurs with any other new discipline, there are still many misconceptions and misunderstandings surrounding it. In this paper we attempt to clarify the different aspects of software sustainability, from organizational sustainability to software sustainability, exploring the latter in great depth by considering its three dimensions. We also present an overview of the research that has been developed around software sustainability, which was obtained after reviewing the best known workshops and conferences on green and sustainable software and some journals. The results obtained principally address the environmental dimension, and specifically green software design, quality and requirements.;1
Editorial: Reality check for software engineering for sustainabilityópragmatism required;"Welcome to this special issue on software engineering for sustainability. Note that software engineering for sustainability has a different emphasis than sustainability in software engineering. Naturally, the latter has a mainly technical focus. The first goes beyond it by looking at the purpose and wider context of a software system, for example, in how it can support social and environmental concerns that help humanity move towards a more sustainable lifestyle and help sustaining our planet and societies. This special issue takes this broad perspective.

Before introducing the articles in this special issue, the following takes a look at why sustainability matters and why software engineering for sustainability has a large potential for impact.

The general importance of sustainability as an objective for developing our future has become apparent via the Millennium Development Goals that were targeting 2015. 1 ìAt the Millennium Summit in September 2000î the largest gathering of world leaders in history adopted the UN Millennium Declaration, committing their nations to a new global partnership to reduce extreme poverty and setting out a series of time-bound and quantified targets, with a deadline of 2015, that have become known as the Millennium Development Goals (MDGs).î 1 They address extreme poverty in its many dimensionsóincome poverty, hunger, disease, lack of adequate shelter, and exclusionówhile promoting gender equality, education, and environmental sustainability. They also include basic human rightsóhealth, education, shelter, and security. The world has made significant progress in achieving many of the goals, for example, between 1990 and 2002, average overall incomes rose by approximately 21%. The number of people in extreme poverty decreased by an estimated 130 million. Child mortality rates went down from 103 deaths per 1000 live births a year to 88. Life expectancy increased from 63 years to nearly 65 years. An additional 8% of the developing world's people now have access to water. And an additional 15% have access to improved sanitation services. 1 However, there still remains a lot to be done.

The follow-up on the MDGs were the Sustainable Development Goals. 2 The Sustainable Development Goals (SDGs), also known as the Global Goals, are a ìcall to action to end poverty, protect the planet, and ensure that all people enjoy peace and prosperity.î 2 These 17 goals build on the successes of the MDGs, while including new priority areas such as climate change, economic inequality, innovation, sustainable consumption, peace and justice. The goals are interconnected: often the key to success on one will involve tackling issues more commonly associated with another. The SDGs provide guidelines and targets for all countries to adopt in accordance with their own priorities and the environmental challenges of the world at large. The SDGs are an inclusive agenda. They tackle the root causes of poverty and aim to unite all people to make a positive change for both people and planet. 2

Not limited to humanitarian and environmental causes, also business and economics recognize sustainability as a major objective. The newest edition of the UN Global CompactñAccenture Strategy CEO Study represents more than a decade of research on sustainable business. 5 Published every 3 years, it is the largest study of CEO attitudes to sustainability globally. The study traces the development of corporate motivations in engaging with environmental, social, and governance issues in core business. In this edition, over 1000 CEOs from 100+ countries and 25+ industries were interviewed. While in 2013, frustrated ambition was prevalent; now, there is optimism as CEOs see a mandate to solve societal challenges as a core element to gain competitive advantage. The backdrop to this edition of the study was the adoption of the United Nations 2030 Agenda for Sustainable Development and the SDGs. Results suggest that business leaders are committed to sustainability, forging a stronger global environment for business. ìThe majority of CEOs surveyed (87%) believe the SDGs provide an opportunity to rethink approaches to sustainable value creationóand 78% already see opportunities to contribute through core business.î 6 According to nearly half of all CEOs surveyed (49%), business will be the single most important actor in delivering the SDGs. Their major conclusion was that the private sector now has a window of opportunity to reshape the way we live and work. 6 Given the pervasive role of information and communication technology (ICT) and software solutions in all aspects of our society, it is obvious that researchers, practitioners, and decision makers in any sector need to change their mindset and include sustainability concerns by default.

More on the technical side, the Smarter 2020 and Smarter 2030 reports by the Global e-Sustainability Initiative (GeSI) presented what the future could look like by making the best of technological opportunities. GeSI's SMARTer2020 report 3 demonstrates how the increased use of ICT such as video conferencing and smart-building management could cut the projected 2020 global greenhouse gas (GHG) emissions by 16.5%, amounting to $1.9 trillion in gross energy and fuel savings and a reduction of 9.1 gigatons carbon dioxide equivalent of greenhouse gases. This is equivalent to more than seven times the ICT sector's emissions in the same period. 3 Here, ICT can work as an enableróif we have software engineers who know how to design for sustainability. In this special issue, we have, for example, contributions on design patterns and mobile cloud apps that support energy efficiency. In the Smarter 2030 report, policy makers, businesses, and consumers were called to action. By 2030, ICT will provide benefits across the triple bottom line, from reducing CO2 emissions and resource use, to generating additional revenues, cost savings, and wider societal benefits. The report includes scenarios like ìa doctor in your pocket,î ìeducation on your terms,î ìdecarbonizing the energy sector,î ìthe future of buildings,î ìfeeding a growing world,î ìmobile and connected reaching your destination,î ìsmarter customers, smarter services,î and the Internet of Things. 4 Each of those is fundamentally realized and implemented by software systems, and again, we need software engineers capable of designing these systems with individual, social, economic, technical, and environmental sustainability in mind. Furthermore, each of these topics also depends on highly interdisciplinary collaborarion. For example, the ìdoctor in your pocketî requires both medical expertise, user experience design, and software engineering. Each discipline has to start building its half of the bridges towards the others.

From the humanitarian perspective of MDGs and SDGs to the business perspective of the UN Global Compact study to the Smarter 2020 and 2030 future scenarios, all of the solutions involve large amounts of software systems and services. This is where software engineering comes into play as a critical facilitator. In more concrete terms, if we manage to support sustainability in business strategies, translate the related objectives into requirements, and then manage to design and implement them into the software, we can facilitate a huge potential positive impact on our lifestyle and the planet.

In our opinion, the maturity of the field is still developing. In distinct research community pockets, we have advanced specific topics quite well. Now is the time to bring those research pockets together and integrate them into the bigger picture. This is what this special issue is about.";1
Software sustainability: Research and practice from a software architecture viewpoint;"Modern societies are highly dependent on complex, large-scale, software-intensive systems that increasingly operate within an environment of continuous availability, which is challenging to maintain and evolve in response to the inevitable changes in stakeholder goals and requirements of the system. Software architectures are the foundation of any software system and provide a mechanism for reasoning about core software quality requirements. Their sustainability ñ the capacity to endure in changing environments ñ is a critical concern for software architecture research and practice.
Problem
Accidental software complexity accrues both naturally and gradually over time as part of the overall software design and development process. From a software architecture perspective, this allows several issues to overlap including, but not limited to: the accumulation of technical debt design decisions of individual components and systems leading to coupling and cohesion issues; the application of tacit architectural knowledge resulting in unsystematic and undocumented design decisions; architectural knowledge vaporisation of design choices and the continued ability of the organization to understand the architecture of its systems; sustainability debt and the broader cumulative effects of flawed architectural design choices over time resulting in code smells, architectural brittleness, erosion, and drift, which ultimately lead to decay and software death. Sustainable software architectures are required to evolve over the entire lifecycle of the system from initial design inception to end-of-life to achieve efficient and effective maintenance and evolutionary change.
Method
This article outlines general principles and perspectives on sustainability with regards to software systems to provide a context and terminology for framing the discourse on software architectures and sustainability. Focusing on the capacity of software architectures and architectural design choices to endure over time, it highlights some of the recent research trends and approaches with regards to explicitly addressing sustainability in the context of software architectures.
Contribution
The principal aim of this article is to provide a foundation and roadmap of emerging research themes in the area of sustainable software architectures highlighting recent trends, and open issues and research challenges.";1
Sustainability evaluation of software architectures: a systematic review;Long-living software systems are sustainable if they can be cost-efficiently maintained and evolved over their entire life-cycle. The quality of software architectures determines sustainability to a large extent. Scenario-based software architecture evaluation methods can support sustainability analysis, but they are still reluctantly used in practice. They are also not integrated with architecture-level metrics when evaluating implemented systems, which limits their capabilities. Existing literature reviews for architecture evaluation focus on scenario-based methods, but do not provide a critical reflection of the applicability of such methods for sustainability evaluation. Our goal is to measure the sustainability of a software architecture both during early design using scenarios and during evolution using scenarios and metrics, which is highly relevant in practice. We thus provide a systematic literature review assessing scenario-based methods for sustainability support and categorize more than 40 architecture-level metrics according to several design principles. Our review identifies a need for further empirical research, for the integration of existing methods, and for the more efficient use of formal architectural models.;1
Two perspectives on reference architecture sustainability;"In the context of software architectures, sustainability has been investigated as an important quality property to assess how well these architectures support changes over time. Several initiatives to achieve sustainable software architectures/systems can be already found. In parallel, reference architectures have served as an effective support to facilitate and standardize the development and evolution of software systems, including in complex, critical application domains. By encompassing valuable knowledge of specific domains, the reference architectures survival is considered of utmost importance, however, the most of such architectures have not been updated since their first version. Furthermore, there is a lack of works investigating how a reference architectures, by itself, can become sustainable and/or can contribute to develop sustainable systems in a domain. The main contribution of this paper is to provide a first view about sustainability on reference architectures. Resulting from our expertise on reference architectures, we bring out the two perspectives on their sustainability: (i) sustainability IN reference architectures; and (ii) sustainability OF reference architectures. In particular, for the perspective OF, we analyzed 20 existing reference architectures to assess their sustainability, and we found most of them were not updated over time. Hence, we also provide an initial set of aspects that could contribute to address sustainability of those architectures.";1
Towards suitable description of reference architectures;Due to the increasing size and complexity of many current software systems, the architectural design of these systems has become a considerately complicated task. In this scenario, reference architectures have already proven to be very relevant to support the architectural design of systems in diverse critical application domains, such as health, avionics, transportation, and the automotive sector. However, these architectures are described in many different approaches, such as using textual description, informal models, and even modeling languages as UML. Hence, practitioners are faced with a difficult decision of the better approaches to describing reference architectures. The main contribution of this work is to depict a detailed panorama containing the state of the art (from the literature) and state of the practice (based on existing reference architectures) of approaches for describing reference architectures. For this, we firstly examined the existing approaches (e.g., processes, methods, models, and modeling languages) and compared them concerning completeness and applicability. We also examined four well-known, successful reference architectures (AUTOSAR, ARC-IT, IIRA, and AXMEDIS) in view of the approaches used to describe them. As a result, there exists a misalignment between the state of the art and state of the practice, requiring an engagement of the software architecture community, through research collaboration of academia and industry, to propose more suitable means to describe reference architectures and, as a consequence, promoting the sustainability of these architectures.;1
Architectural Technical Debt Identification: The Research Landscape;Architectural Technical Debt (ATD) regards sub-optimal design decisions that bring short-term benefits to the cost of long-term gradual deterioration of the quality of the architecture of a software system. The identification of ATD strongly in uences the technical and economic sustainability of software systems and is attracting growing interest in the scientific community. During the years several approaches for ATD identification have been conceived, each of them addressing ATD from di erent perspectives and with heterogeneous characteristics. In this paper we apply the systematic mapping study methodology for identifying, classifying, and evaluating the state of the art on ATD identification from the following three perspectives: publication trends, characteristics, and potential for industrial adoption. Speci cally, starting from a set of 509 potentially relevant studies, we systematically selected 47 primary studies and analyzed them according to a rigorously-de ned classification framework. The analysis of the obtained results supports both researchers and practitioners by providing (i) an assessment of current research trends and gaps in ATD identification, (ii) a solid foundation for understanding existing (and future) research on ATD identification, and (iii) a rigorous evaluation of its potential for industrial adoption.;1
Has social sustainability been addressed in software architectures?;Research on sustainability in software engineering has gained importance as a result of the need to create better software and therefore avoid compromising future generations opportunities, whether in the social, economic, technical or environmental dimension. Social dimension encompasses the direct support of the software systems in any domain, as well as activities or processes that create benefits for social communities, such as health, education, and transportation. Although social aspects have been previously examined within the broader context of software engineering, the software systems design based on the notion of social sustainability is still poorly understood and practiced. This paper outline relevant points surrounding social sustainability as a concern in software architectures design. In particular, we discuss some issues in designing software systems that generate social values and have a positive impact on communities. We hope that this discussion will help broaden the concept of social sustainability in architectural design decisions and to bring awareness to the particular needs of software systems that have a direct impact on human well-being and contribute to sustainable development.;1
Social Sustainability in the e-Health Domain via Personalized and Self-Adaptive Mobile Apps;Within software engineering, social sustainability is the dimension of sustainability that focuses on the ìsupport of current and future generations to have the same or greater access to social resources by pursuing social equity.î An important domain that strives to achieve social sustainability is e-Health, and more recently e-Health mobile apps.A wealth of e-Health mobile apps is available for many purposes, such as lifestyle improvement and mental coaching. The interventions, prompts, and encouragements of e-Health apps sometimes take context into account (e.g., previous interactions or geographical location of the user), but they still tend to be rigid, e.g., apps use fixed sets of rules or they are not sufficiently tailored toward individualsí needs. Personalization to the different usersí characteristics and run-time adaptation to their changing needs and context provide a great opportunity for getting users continuously engaged and active, eventually leading to better physical and mental conditions. This chapter presents a reference architecture for enabling AI-based personalization and self-adaptation of mobile apps for e-Health. The reference architecture makes use of a dedicated goal model and multiple MAPE loops operating at different levels of granularity and for different purposes. The proposed reference architecture is instantiated in the context of a fitness-based mobile application and exemplified through a series of typical usage scenarios extracted from our industrial collaborations.;1
Systematic Mapping Studies in Software Engineering;A software engineering systematic map is a defined method to build a classification scheme and structure a software engineering field of interest. The analysis of results focuses on frequencies of publications for categories within the scheme. Thereby, the coverage of the research field can be determined. Different facets of the scheme can also be combined to answer more specific research questions. OBJECTIVE: We describe how to conduct a systematic mapping study in software engineering and provide guidelines. We also compare systematic maps and systematic reviews to clarify how to chose between them. This comparison leads to a set of guidelines for systematic maps. METHOD: We have defined a systematic mapping process and applied it to complete a systematic mapping study. Furthermore, we compare systematic maps with systematic reviews by systematically analyzing existing systematic reviews. RESULTS: We describe a process for software engineering systematic mapping studies and compare it to systematic reviews. Based on this, guidelines for doing systematic maps are defined. CONCLUSIONS: Systematic maps and reviews are different in terms of goals, breadth, validity issues and implications. Thus, they should be used complementarily and require different methods (e.g., for analysis).;1
Guidelines for conducting systematic mapping studies in software engineering;"ContextSystematic mapping studies are used to structure a research area, while systematic reviews are focused on gathering and synthesizing evidence. The most recent guidelines for systematic mapping are from 2008. Since that time, many suggestions have been made of how to improve systematic literature reviews (SLRs). There is a need to evaluate how researchers conduct the process of systematic mapping and identify how the guidelines should be updated based on the lessons learned from the existing systematic maps and SLR guidelines. ObjectiveTo identify how the systematic mapping process is conducted (including search, study selection, analysis and presentation of data, etc.); to identify improvement potentials in conducting the systematic mapping process and updating the guidelines accordingly. MethodWe conducted a systematic mapping study of systematic maps, considering some practices of systematic review guidelines as well (in particular in relation to defining the search and to conduct a quality assessment). ResultsIn a large number of studies multiple guidelines are used and combined, which leads to different ways in conducting mapping studies. The reason for combining guidelines was that they differed in the recommendations given. ConclusionThe most frequently followed guidelines are not sufficient alone. Hence, there was a need to provide an update of how to conduct systematic mapping studies. New guidelines have been proposed consolidating existing findings.";1
Systematic literature studies: Database searches vs. backward snowballing;Systematic studies of the literature can be done in different ways. In particular, different guidelines propose different first steps in their recommendations, e.g. start with search strings in different databases or start with the reference lists of a starting set of papers. In software engineering, the main recommended first step is using search strings in a number of databases, while in information systems, snowballing has been recommended as the first step. This paper compares the two different search approaches for conducting literature review studies. The comparison is conducted by searching for articles addressing ìAgile practices in global software engineeringî. The focus of the paper is on evaluating the two different search approaches. Despite the differences in the included papers, the conclusions and the patterns found in both studies are quite similar. The strengths and weaknesses of each first step are discussed separately and in comparison with each other. It is concluded that none of the first steps is outperforming the other, and the choice of guideline to follow, and hence the first step, may be context-specific, i.e. depending on the area of study.;1
A general model of software architecture design derived from five industrial approaches;We compare five industrial software architecture design methods and we extract from their commonalities a general software architecture design approach. Using this general approach, we compare across the five methods the artifacts and activities they use or recommend, and we pinpoint similarities and differences. Once we get beyond the great variance in terminology and description, we find that the five approaches have a lot in common and match more or less the ìidealî pattern we introduced. From the ideal pattern we derive an evaluation grid that can be used for further method comparisons.;1
A comparative study of architecture knowledge management tools;Recent research suggests that architectural knowledge, such as design decisions, is important and should be recorded alongside the architecture description. Different approaches have emerged to support such architectural knowledge (AK) management activities. However, there are different notions of and emphasis on what and how architectural activities should be supported. This is reflected in the design and implementation of existing AK tools. To understand the current status of software architecture knowledge engineering and future research trends, this paper compares five architectural knowledge management tools and the support they provide in the architecture life-cycle. The comparison is based on an evaluation framework defined by a set of 10 criteria. The results of the comparison provide insights into the current focus of architectural knowledge management support, their advantages, deficiencies, and conformance to the current architectural description standard. Based on the outcome of this comparison a research agenda is proposed for future work on AK tools.;1
