T�tulo;Resumo;Selecionado
Quantum Software Testing;"This article introduces some ideas and challenges related to the testing of quantum programs. In particular, it approaches functional testing, white
box testing (specially mutation) and model-based testing";1
Formal Verification vs. Quantum Uncertainty;"Quantum programming is hard: Quantum programs are necessarily probabilistic and impossible to
examine without disrupting the execution of a program. In response to this challenge, we and a
number of other researchers have written tools to verify quantum programs against their intended
semantics. This is not enough. Verifying an idealized semantics against a real world quantum
program doesn�t allow you to confidently predict the program�s output. In order to have verification
that works, you need both an error semantics related to the hardware at hand (this is necessarily
low level) and certified compilation to the that same hardware. Once we have these two things,
we can talk about an approach to quantum programming where we start by writing and verifying
programs at a high level, attempt to verify properties of the compiled code, and repeat as necessary.";1
Statistical Assertions for Validating Patterns and Finding Bugs in Quantum Programs;"In support of the growing interest in quantum computing experimentation, programmers need new tools to write quantum algorithms as program code. Compared to debugging classical programs, debugging quantum programs is difficult because programmers have limited ability to probe the internal states of quantum programs; those states are difficult to interpret even when observations exist; and programmers do not yet have guidelines for what to check for when building quantum programs. In this work, we present quantum program assertions based on statistical tests on classical observations. These allow programmers to decide if a quantum program state matches its expected value in one of classical, superposition, or entangled types of states. We extend an existing quantum programming language with the ability to specify quantum assertions, which our tool then checks in a quantum program simulator. We use these assertions to debug three benchmark quantum programs in factoring, search, and chemistry. We share what types of bugs are possible, and lay out a strategy for using quantum programming patterns to place assertions and prevent bugs.";1
Towards a Quantum Software Modeling Language;We set down the principles behind a modeling language for quantum software. We present a minimal set of extensions to the well-known Unified Modeling Language (UML) that allows it to effectively model quantum software. These extensions are separate and independent of UML as a whole. As such they can be used to extend any other software modeling language, or as a basis for a completely new language. We argue that these extensions are both necessary and sufficient to model, abstractly, any piece of quantum software. Finally, we provide a small set of examples that showcase the effectiveness of the extension set.;1
Integrating Quantum Computing into Workflow Modeling and Execution;Quantum computing has the potential to significantly impact many application domains, as several quantum algorithms are promising to solve problems more efficiently than possible on classical computers. However, various complex pre- and post-processing tasks have to be performed when executing a quantum circuit, which require immense mathematical and technical knowledge. For example, calculations on today�s quantum computers are noisy and require an error mitigation task after the execution. Hence, integrating classical applications with quantum circuits is a difficult challenge. In this paper, we introduce a modeling extension for imperative workflow languages to enable the integration of quantum computations and ease the orchestration of classical applications and quantum circuits. Further, we show how the extension can be mapped to native modeling constructs of extended workflow languages to retain the portability of the workflows. We validate the practical feasibility of our approach by applying our proposed extension to BPMN and introduce Quantum4BPMN.;1
TOSCA4QC: Two Modeling Styles for TOSCA to Automate the Deployment and Orchestration of Quantum Applications;Quantum computing introduces a new computing paradigm that promises to solve problems that cannot be solved by classical computers efficiently. Thus, quantum applications will be more and more integrated in classical applications. To bring these composite applications into production, technologies for an automated deployment and orchestration are required to avoid manual error-prone and time-consuming processes. For non-quantum applications, a variety of deployment technologies have been developed in recent years. However, the deployment of quantum applications currently differs significantly from nonquantum applications and thus, leads to a different modeling procedure for the deployment of quantum applications. To overcome these problems, we propose TOSCA4QC that introduces two deployment modeling styles based on the Topology and Orchestration Specification for Cloud Applications (TOSCA) standard for automating the deployment and orchestration of quantum applications: (i) SDK-specific modeling style to cover all technical deployment details and (ii) SDK-agnostic modeling style supporting common modeling principles. We further show how existing model-driven development (MDD) approach can be applied to refine a SDK-agnostic model to an executable SDK-specific model. We demonstrate the practical feasibility by a prototypical implementation as an extension of the TOSCA ecosystem OpenTOSCA and three case studies with IBMQ and a quantum simulator.;1
Toward a Quantum Software Engineering;"Nowadays, we are at the dawn of a new age, the quantum era. Quantum computing is no longer a dream; it is a reality that needs to be adopted. But this new technology is taking its first steps, so we still do not have models, standards, or methods to help us in the creation of new systems and the migration of current ones. Given the current state of quantum computing, we need to go back to the path software engineering took in the last century to achieve the new golden age for quantum software engineering.";1
A Roadmap for Quantum Software Engineering: applying the lessons learned from the classics;Quantum Computing is one of the emerging areas of computing that currently generates more expectations. However, there are many doubts about its actual future projection. On the one hand, the industry shows reluctance to invest in it. The main reasons are the high costs of the hardware, together with the fact that current commercial quantum computers offer a potential that goes little beyond experimentation. On the other hand, there is controversy in the research community about the feasibility of creating and programming powerful and reliable quantum computers. The possibility of having reliable hardware with a reasonable number of Qubits seems still distant. Finally, current quantum programming tools are still at almost logic gate level, which limits the possibility of creating real complex quantum software systems. If we look back in time, this situation is reminiscent of the Software Crisis experienced by classical computing in the 60�s. This talk starts from this analogy and, analyzing the advances and the lessons learned in the field of Software Engineering in the last 60 years, raises the directions that could help to develop the future Quantum Software Engineering.;1
A Tool for Quantum Software Evolution;Quantum computing has been growing drastically for the last year due to all the possible applications that this new paradigm brings as well as its incomparable computational power. Therefore, the new information systems that will be developed in a future might be influenced by this paradigm. However, discarding the legacy information systems is not an option if those systems embed mission-critical knowledge over time. Furthermore, quantumfy every business process does not make sense because the high cost that it requires. This is why, in a future, organizations will adapt their classical information systems with new quantum applications, evolving their legacy information systems into hybrid information system. To accomplish this evolution, this paper proposes a technique of software modernization using model-driven engineering based on the Knowledge Discovery Metamodel (KDM) standard. ;1
Modeling Quantum programs: challenges, initial results, and research directions;Quantum programming languages provide necessary constructs to program quantum computers. To write such programs, one needs to understand the characteristics of quantum computers such as superposition and entanglement, which are novel as compared to programming with classical computers. Understanding these characteristics requires an understanding of quantum physics. Thus, there is a need to build high-level modeling abstractions of quantum programs for software engineers who are used to program on classical computers to understand and model quantum programs at a high-level of abstraction and independent of quantum platforms. To this end, we present some ideas for developing such quantum software modeling languages, by presenting a conceptual model of quantum programs and an example of modeling the state-based behavior of quantum entanglement program. Moreover, we present some open issues in the area of modeling quantum programs.;1
Off-the-shelf Components for Quantum Programming and Testing;In this position paper, we argue that readily available components are much needed as central contributions towards not only enlarging the community of quantum computer programmers, but also in order to increase their efficiency and effectiveness. We describe the work we intend to do towards providing such components, namely by developing and making available libraries of quantum algorithms and data structures, and libraries for testing quantum programs. We finally argue that Quantum Computer Programming is such an effervescent area that synchronization efforts and combined strategies within the community are demanded to shorten the time frame until quantum advantage is observed and can be explored in practice.;1
Proq: Projection-based Runtime Assertions for Debugging on a Quantum Computer;In this paper, we propose Proq, a runtime assertion scheme for testing and debugging quantum programs on a quantum computer. The predicates in Proq are represented by projections (or equivalently, closed subspaces of the state space), following Birkhoff-von Neumann quantum logic. The satisfaction of a projection by a quantum state can be directly checked upon a small number of projective measurements rather than a large number of repeated executions. On the theory side, we rigorously prove that checking projection-based assertions can help locate bugs or statistically assure that the semantic function of the tested program is close to what we expect, for both exact and approximate quantum programs. On the practice side, we consider hardware constraints and introduce several techniques to transform the assertions, making them directly executable on the measurement-restricted quantum computers. We also propose to achieve simplified assertion implementation using local projection technique with soundness guaranteed. We compare Proq with existing quantum program assertions and demonstrate the effectiveness and efficiency of Proq by its applications to assert two ingenious quantum algorithms, the Harrow-Hassidim-Lloyd algorithm and Shor's algorithm.;1
Software modernization to embrace quantum technology;Quantum Computing is becoming an increasingly mature area, with a simultaneous escalation of investment in many sectors. Quantum technology will revolutionize all the engineering fields. For example, companies will need to add quantum computing progressively to some or all of their daily operations. It is clear that all existing classical information systems cannot be done away with. Rather than that occurring, it is expected that some quantum algorithms will be added, so that they can work alongside classical information systems. There has been no systematic solution offered to deal with this challenge so far. This research proposes a software modernization approach (model-driven reengineering) designed to restructure classical systems to work in conjunction with quantum systems, thereby providing target environments that combine both of these computational paradigms. The approach proposed is systematic, and based on existing software engineering standards like the Knowledge Discovery Metamodel and the Unified Modelling Language. It could therefore be applied in industry in a way that complies with the existing software evolution processes. The independence of this proposal with respect to quantum programming environments is also guaranteed, making its application feasible in the changing environment in today's quantum industry. The main implication of this approach is technical, but also economic, since it enables the reuse of the knowledge embedded in legacy systems, while at the same time the new quantum-based projects are speeded up.;1
The Quantum Software Lifecycle;"Quantum computing is an emerging paradigm that enables to solve a variety of problems more efficiently than it is possible on classical
computers. As the first quantum computers are available, quantum algorithms can be implemented and executed on real quantum hardware. However, the capabilities of today�s quantum computers are very limited and quantum computations are always disturbed by some error. Thus, further research is needed to develop or improve quantum algorithms, quantum computers, or required software tooling support. Due to the interdisciplinary nature of quantum computing, a common understanding of how to develop and execute a quantum software application is needed. However, there is currently no methodology or lifecycle comprising all relevant phases that can occur during the development and execution process. Hence, in this paper, we introduce the quantum software lifecycle consisting of ten phases a gate-based quantum software application should go through. We analyze the purpose of each phase, the available methods and tools that can be applied, and the open problems or research questions. Therefore, the lifecycle can be used as a baseline for discussions and future research.";1
Selection of quantum computing architecture using a decision tree approach;Richard Feynman proposed the idea of quantum computing for the first time in 1982 (R. P. Feynman, 1982) [1]. In the last few years, various industries have started accepting quantum solutions to their business problems. Universal quantum computers are being built by Industry tech giants to solve problems in business, engineering, and science. A variety of quantum software projects are being developed using different quantum devices, algorithms, frameworks, and quantum programming languages. To correctly identify the problems that show promise for quantum advantage, to develop proof-of-concept implementations of quantum solutions, and to actually develop software implementing these solutions is a challenging feat. This paper helps ease the decision-making process in choosing the right software architecture based on the type of the quantum project.;
Quantum Computing: State-of-Art and Challenges;In this article we review the concept of quantum computing and briefly discuss the state-of-art and some actual challenges in the field of software (i.e. programming languages and algorithms) for quantum computing.;
Special Session: Noise Characterization and Error Mitigation in Near-Term Quantum Computers;A detailed understanding of the noise processes and errors in near-term quantum computers is essential for accurate calibration of gates, and for achieving optimal performance when executing near-term applications such as quantum chemistry, optimization, or machine learning problems. This paper introduces several sources of noise in superconducting qubit based quantum computers such as those deployed by IBM, describes some of the main techniques for characterizing the resulting errors, and for mitigating the effects of certain errors without access to quantum error correction. We demonstrate experimental application of these techniques on an IBM Quantum system using the open source Qiskit software library.;
A quantum procedure for map generation;Quantum computation is an emerging technology that promises a wide range of possible use cases. This promise is primarily based on algorithms that are unlikely to be viable over the coming decade. For near-term applications, quantum software needs to be carefully tailored to the hardware available. In this paper, we begin to explore whether near-term quantum computers could provide tools that are useful in the creation and implementation of computer games. The procedural generation of geopolitical maps and their associated history is considered as a motivating example. This is performed by encoding a rudimentary decision making process for the nations within a quantum procedure that is well-suited to near-term devices. Given the novelty of quantum computing within the field of procedural generation, we also provide an introduction to the basic concepts involved.;
A study on application of Artificial Intelligence (AI) for cosmetics: Quantum computer is necessary for Beauty-field analysis;Artificial Intelligence (Hereinafter, AI) technology has attraction in recent years. AI technology is a combination of the software technology represented by “Deep Learning” and the hardware technology represented by “GPU”. GPU stands for Graphic Processing Unit. And the GPU has the function of performing parallel processing at high speed like a human brain. The current AI system is established by the evolution of “GPU” and “Deep Learning”. Deep learning is often taken up, but the current AI technology can't be explained without GPU evolution. Current AI technology is established with balance between software and hardware technologies. As is well known, high performance AI technology is applied in the field of driving of automobiles and security system. On the other hand, utilization of AI in the cosmetic field has been delayed. Because the current AI still can't analyze human emotions and feelings. “Beauty” has to analyze human instinctive area, which is very difficult. In the area of “Beauty”, virtual make-up is realized by image processing. Or it is used for analysis of skin color and so on. For example, take a photo of skin color by the smart-phone and customize the foundation that matches skin color. In this way, AI is beginning to be used gradually even in the cosmetics field. In this paper, we will give an opinion on the application of AI to cosmetics.;
An overview of Quantum Information Systems;In this presentation, an overview of Quantum Information Systems is given. Therefore, the postulates of quantum mechanics are given based on one interpretation that is called the Copenhagen interpretation. The main pillars of quantum mechanics are: Superposition, Interference, and Entanglement. Quantum Information Systems comprise three disciplines: Quantum Computation, Quantum Communication, and Quantum Control. Each one of them has a number of topics with some implementations that have reached the commercial level. Quantum Computation has three models: the circuit model that is using different techniques like superconducting elements and special Silicon-based elements. The Adiabatic quantum model has reached the commercial stage through a start-up company using superconducting chips. The categorical quantum model is based on category theory and one of its main applications is the study and verification of network and cryptographic protocols. Quantum communication started with defining the basic unit of information, the qubit. Then the quantum compression theorem was proved. The quantum channel capacity problem was divided into two problems: transmitting classical information over a quantum channel, and transmitting quantum information over a quantum channel. The first problem was partially resolved. However, the second problem is being researched upon. Two applications will be briefly presented: quantum teleportation and superdense coding. Both of them employs quantum entanglement. Quantum Key Distribution (QKD) using cryptographic protocols has received much attention due its importance in network security. A number of protocols have been proposed and some of them have been implemented, and now a number of commercial products have been announced. Also, some experimental networks have been implemented. QKD using space links have been proposed and experimented with. In few years quantum satellites will be launched. Quantum cryptographic protocols are being proposed to protect infrastructure networks like the electric power grid. Also, it is being used as a countermeasure against global spying networks like ECHELON that are detrimental for national economies. The Quantum Internet is also being considered using quantum teleportation together with Cavity Quantum Electrodynamics with some experimental work going on. Quantum Control is essential for both Quantum Computation and Quantum Communication. Intensive research is going on in: State estimation (called Quantum State Tomography), system identification (called Quantum Process Tomography), and Quantum Feedback Control. The basic concepts will be briefly considered in this presentation. University education has witnessed major changes to support the above developments. At the postgraduate level many universities offer many courses related to the above disciplines. Recently, a number of institutions started to offer undergraduate courses and some of them have even started to introduce Quantum Engineering 4 years undergraduate programs. A brief account will be given to such developments.;
Five reversible quantum gates in Quipper;Quipper is the most recently developed quantum programming language. In this work, we provide brief background information about Quipper and use its framework to demonstrate the implementation of five non-trivial reversible gates. Each gate works as a full adder gate. We will use a Quipper simulator to run a simulation for each gate on a classical computer.;
Reverse Checking of Quantum Algorithm Execution;Verification of quantum computation is critical because undesirable interference and noise are major technical hurdles in quantum computing. We propose an approach for reverse checking of computation results that takes advantage of quantum teleportation and reversibility of unitary quantum gates. The main idea is to preserve the quantum state after the computation ends and before the result is measured, so that quantum teleportation can be performed to “save” the quantum state before the readout. After that, the computation is reversely performed in the reverse order of gate operations. The end result should match the original input. Any discrepancy would be proof of errors during computation or verification. The advantage of this approach is that the reverse computation circuit can be automatically generated and performed and that the error rate obtained reflects what happened during the actual computation. In addition, this approach leads to a potential way to reduce error rates in the future by discarding results from individual shots of the execution with detected errors.;
A quantum macro assembler;We present a low-level software building block intended to be used to implement higher-level programming models atop quantum annealers such as the D-Wave 2X™. By analogy to a macro assembler for conventional architectures, our quantum macro assembler enables a programmer to express computations symbolically and without regard to the specifics of the underlying hardware. We demonstrate that the quantum macro assembler can be useful in its own right as a programming interface despite providing only a minimal level of hardware abstraction.;
Cavity Quantum Electrodynamics (CQED)-Based Quantum LDPC Encoders and Decoders;Quantum information processing (QIP) relies on delicate superposition states that are sensitive to interactions with environment, resulting in errors. Moreover, the quantum gates are imperfect so that the use of quantum error correction coding (QECC) is essential to enable the fault-tolerant computing. The QECC is also important in quantum communication and teleportation applications. The most critical gate, i.e., the CNOT gate, has been implemented recently as a probabilistic device by using integrated optics. CNOT gates from linear optics provide only probabilistic outcomes and, as such, are not suitable for any meaningful quantum computation (on the order of thousand qubits and above). In this paper, we show that arbitrary set of universal quantum gates and gates from Clifford group, which are needed in QECC, can be implemented based on cavity quantum electrodynamics (CQED). Moreover, in CQED technology, the use of the controlled-Z gate instead of the CNOT gate is more appropriate. We then show that encoders/decoders for quantum low-density parity-check (LDPC) codes can be implemented based on Hadamard and controlled-Z gates only using CQED. We also discuss quantum dual-containing and entanglement-assisted codes and show that they can be related to combinatorial objects known as balanced incomplete block designs (BIBDs). In particular, a special class of BIBDs-Steiner triple systems (STSs)-yields to low-complexity quantum LDPC codes. Finally, we perform simulations and evaluate the performance of several classes of large-girth quantum LDPC codes suitable for implementation in CQED technology against that of lower girth entanglement-assisted codes and dual-containing quantum codes.;
Toward Design of Garbled Circuits Using Quantum Gates;Two-party Secure Multi-party Computation (SMC) is a classical problem in theoretical security. The Garbled Circuit (GC) approach has been proposed as a method for solving SMC using Boolean circuits. Actually, interest has grown in the efficiency of this technique and in its applications to computation outsourcing in untrusted environments. A recent work shows that EXOR gates in a Boolean circuit have no cost for the secure computation protocol. Therefore, circuits with a reduced number of non-EXOR gates are more convenient. In this work, we discuss Garbled Circuit construction for two-party secure function evaluation using quantum gates (QG). We observe that, in some cases, the quantum GC involves a lower number of non-EXOR gates than the corresponding classical GC implementations, resulting in a reduced cost in terms of Oblivious Transfer (OT) communication at runtime.;
Computer systems architecture vs quantum computer;Technology is growing very fast, every day we see new things and changes to technology. There is a lot of history for computer systems. Nearly they are for 60 years. Computer Architecture is changed from day one to till today. Based on Computer Architecture new computer systems are developed. Computer Architecture is different for microcomputer, minicomputer, mainframes, laptops, palmtop, tablets, mobile phones which are used as smart computers. Each device is having its own architectures. These systems are based on Boolean algebra. In this paper we say about quantum computers system with architecture. Quantum Computer is based on using device at required amount. Quantum Computers are one type of supercomputers, can solve lot of problems that which cannot be solved by normal computers. This is 100 times faster than microcomputers. It is based on quantum physics.;
Network Management System for Quantum Key Distribution;Quantum Key Distribution (QKD) is developed to improve the security network in key exchange field. There are several success network equipments in implement QKD. However, the key distribution is limited to use in point-to-point scope. In this paper, we propose a design in quantum cryptography network that will extend the ability of number of users in present quantum cryptography network from point-to-point to multi-user network and sustain the security of the network. The developed system is implemented based on the existing quantum cryptography by managing the pairs joining of QKD system. The result of simulation is proven the feasibility to implement the proposed concept in real implementation.;
Use quantum random number generator in Diffie-Hellman key exchange protocol;The development of information society, which led to an impressive increase of the volume of information, mostly economic, which was circulated in computer networks, accelerated the development and especially the use of modern cryptography tools. The role of modern cryptography is to assure by specific mathematical means, both theoretically and practically, the four basic characteristics of information: confidentiality, integrity, authenticity, and nonrepudiation. This paper presents a series of results obtained within an ample project, whose purpose is to integrate devices based on quantum properties, in order to gradually replace the current classical equipment which becomes vulnerable, and also to develop software applications. The results were obtained as a result of performance and testing of an experimental model which implements an architecture of client-server type, and which integrates a quantum random number generator in the mechanism of obtaining the cryptographic key.;
Quantum random number generator vs. random number generator;A random number generator produces a periodic sequence of numbers on a computer. The starting point can be random, but after it is chosen, everything else is deterministic. A random number generator produces a periodic sequence of numbers on a computer. The starting point can be random, but after it is chosen, everything else is deterministic. This paper presents the entropy and p-value tests performed on classical and quantum random number generators, in order to check the randomness of the generated output data. Both generators have been integrated in software applications reproducing asymmetrical cryptosystems, their results contributing to the generation of key material within Diffie-Hellman protocol. Can regard these tests as a first step in determining if a generator is suitable for a particular cryptographic application. At the same time, the statistical tests cannot serve as a substitute for cryptanalysis.;
A Gate-Level Approach To Compiling For Quantum Computers;Programming language constructs generally operate on data words, and so does most compiler analysis and transformation. However, individual word-level operations often harbor pointless, yet resource and power hungry, lower-level operations. By transforming complete programs into gate-level operations on individual bits, and optimizing operations at that level, it is possible to dramatically reduce the total amount of work needed to execute the program's algorithm. This gate-level representation can be in terms of any complete set of logic gate types;
Surface Codes Based Quantum Networking;We propose a multipartite quantum communication network (QCN) based on surface codes (SCs). We describe how simultaneously to entangle multiple nodes in an arbitrary network topology by employing the SCs. We further describe how to extend the transmission distance between arbitrary two nodes by using the SCs as well. Finally, we describe how to operate the proposed QCN by employing the SDN concept.;
Exploring Quantum Supremacy in Access Structures of Secret Sharing by Coding Theory;We consider secret sharing schemes with a classical secret and quantum shares. One example of such schemes was recently reported whose access structure cannot be realized by any secret sharing schemes with classical shares. In this paper, we report further quantum secret sharing schemes whose access structures cannot be realized by any classical secret sharing schemes.;
Numerical research on a dual-mode sampled-grating quantum-dot-based InP/InGaAs/InGaAsP DFB laser for W-band RoF application;In this paper, we design and simulate an InP/InGaAs/InGaAsP dual-mode sampled Bragg grating quantum-dot (QD) based distributed feedback (DFB) laser constituted with alternating grating and FP sections in both COMSOL Multiphysics 4.3 and VPI Transmission Maker 8.9. Sampled grating (SG) reflection spectrum is simulated based on transfer matrix method. 2D and 3D optical mode analysis is implemented in COMSOL. In theory, the Coupled-Mode Equation (CME) is used to numerically description the dynamic behavior of this DFB laser. At the meantime, QD laser space and mode model is simulated and verified in COMSOL Multiphysics 4.3. The design QD Laser emitting wavelength is 1550 nm. The mode spacing in W-band millimetre-wave domain (75GHz) and side-mode-suppression-ratio (SMSR) as high as 50dB are achieved. Finally, a spectral pure and stable 75GHz mm-wave signal with 3-dB linewidth of 10MHz is observed on an electrical spectrum analyser after beating on a wideband photodiode in VPI Transmission Maker 8.9 software.;
